Ref,Val,Package,PosX,PosY,Rot,Side
"D6","PDS760","D_PowerDI-5",120.650000,-80.450000,270.000000,top
"D7","Green","LED_0805_2012Metric",128.400000,-68.450000,90.000000,top
"D8","2.0V","D_SOD-123",174.000000,-143.000000,180.000000,top
"D9","3.3V","D_SOD-123",176.500000,-135.500000,90.000000,top
"D10","3.3V","D_SOD-123",183.500000,-134.250000,0.000000,top
"D11","1N4448W","D_SOD-123",179.500000,-135.500000,90.000000,top
"D12","1N4448W","D_SOD-123",164.750000,-134.250000,270.000000,top
"D13","1N4448W","D_SOD-123",168.250000,-134.250000,270.000000,top
"D14","1N4448W","D_SOD-123",181.750000,-131.750000,180.000000,top
"D15","20V","D_SMC",64.750000,-56.000000,0.000000,top
"D16","ES2B","D_SMA",57.750000,-46.750000,90.000000,top
"D17","Green","LED_0805_2012Metric",19.000000,-90.000000,270.000000,top
"D18","BAT54J","D_SOD-323F",21.500000,-104.250000,270.000000,top
"D19","BAT54J","D_SOD-323F",23.500000,-104.250000,90.000000,top
"D20","Yellow","LED_0805_2012Metric",49.000000,-88.750000,90.000000,top
"D21","Yellow","LED_0805_2012Metric",15.250000,-112.000000,270.000000,top
"D22","Yellow","LED_0805_2012Metric",53.250000,-88.750000,90.000000,top
"D23","Yellow","LED_0805_2012Metric",15.250000,-107.750000,270.000000,top
"D24","Yellow","LED_0805_2012Metric",15.250000,-103.750000,270.000000,top
"D25","Yellow","LED_0805_2012Metric",15.250000,-99.500000,270.000000,top
"D26","20V","D_SMC",73.400000,-132.200000,270.000000,top
"D27","BAT54J","D_SOD-323F",108.200000,-94.100000,90.000000,top
"D28","BAT54J","D_SOD-323F",106.000000,-94.100000,90.000000,top
"D29","BAT54J","D_SOD-323F",113.300000,-117.100000,180.000000,top
"D30","20V","D_SMC",117.250000,-55.750000,0.000000,top
"D31","ES2B","D_SMA",110.250000,-46.500000,90.000000,top
"D32","Green","LED_0805_2012Metric",19.000000,-56.250000,270.000000,top
"D33","BAT54J","D_SOD-323F",21.500000,-70.500000,270.000000,top
"D34","BAT54J","D_SOD-323F",23.500000,-70.500000,90.000000,top
"D35","Yellow","LED_0805_2012Metric",49.000000,-55.000000,90.000000,top
"D36","Yellow","LED_0805_2012Metric",15.250000,-78.250000,270.000000,top
"D37","Yellow","LED_0805_2012Metric",53.250000,-55.000000,90.000000,top
"D38","Yellow","LED_0805_2012Metric",15.250000,-74.000000,270.000000,top
"D39","Yellow","LED_0805_2012Metric",15.250000,-70.000000,270.000000,top
"D40","Yellow","LED_0805_2012Metric",15.250000,-65.750000,270.000000,top
"D41","Green","LED_0805_2012Metric",334.250000,-86.000000,90.000000,top
"D42","Red","LED_0805_2012Metric",334.250000,-89.500000,90.000000,top
"F1","2A","Fuse_2920_Bel_fuse",76.250000,-56.250000,180.000000,top
"F2","10A","Fuseholder_Littelfuse_OMNI-BLOK-154",80.000000,-131.585000,270.000000,top
"F3","10A","Fuseholder_Littelfuse_OMNI-BLOK-154",34.600000,-150.400000,0.000000,top
"F4","2A","Fuse_2920_Bel_fuse",128.750000,-56.000000,180.000000,top
"F5","1.1A 16V","Fuse_1812_4532Metric_Castellated",45.250000,-44.000000,0.000000,top
"G***","LOGO","RespiraWorks-Logo-With-Text-16mm",102.000000,-67.500000,0.000000,top
"G***","LOGO","steph_mark",335.948000,-31.529000,0.000000,top
"HS1","Heatsink_Pad","Heatsink_Aavid_573100D00010G_HandSolder",84.500000,-119.270000,0.000000,top
"HS2","Heatsink_Pad","Heatsink_Aavid_573100D00010G_HandSolder",84.500000,-106.400000,0.000000,top
"HS3","Heatsink_Pad","Heatsink_Aavid_573100D00010G_HandSolder",84.500000,-96.200000,0.000000,top
"HS4","Heatsink_Pad","Heatsink_Aavid_573100D00010G_HandSolder",52.600000,-125.800000,0.000000,top
"HS5","Heatsink_Pad","Heatsink_Aavid_573100D00010G_HandSolder",52.600000,-136.200000,0.000000,top
"HS6","Heatsink_Pad","Heatsink_Aavid_573100D00010G_HandSolder",52.600000,-146.400000,0.000000,top
"HS7","Heatsink_Pad","Heatsink_Aavid_573100D00010G_HandSolder",92.600000,-141.800000,270.000000,top
"J3","503182-1852","SD_Molex_5031821852",341.200000,-57.800000,270.000000,top
"J14","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",8.000000,-13.500000,90.000000,top
"J15","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",39.750000,-13.500000,0.000000,top
"J16","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",51.500000,-13.500000,90.000000,top
"J17","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",83.250000,-13.500000,0.000000,top
"J18","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",95.000000,-13.500000,90.000000,top
"J19","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",126.750000,-13.500000,0.000000,top
"J20","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",138.500000,-13.500000,90.000000,top
"J21","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",170.250000,-13.500000,0.000000,top
"J22","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",182.000000,-13.500000,90.000000,top
"J23","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",213.750000,-13.500000,0.000000,top
"J24","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",225.500000,-13.500000,90.000000,top
"J25","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",257.250000,-13.500000,0.000000,top
"J26","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",269.000000,-13.500000,90.000000,top
"J27","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",300.750000,-13.500000,0.000000,top
"J28","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",312.500000,-13.500000,90.000000,top
"J29","Pressure sensor daughterboard","PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right",344.250000,-13.500000,0.000000,top
"J50","USB B micro","USB_Micro-B_Molex-105017-0001",346.200000,-79.250000,90.000000,top
"L1","15uH","L_TDK_SPM12565VT",131.400000,-94.050000,180.000000,top
"L2","15uH","L_TDK_SPM12565VT",131.400000,-79.450000,0.000000,top
"L3","SRP1038A-3R3M","L_Bourns_SRP1038",74.300000,-81.800000,90.000000,top
"L4","6.8uH","L_TDK_SPM12565VT",112.100000,-144.100000,0.000000,top
"Q1","MMBT3904","SOT-23",33.750000,-45.500000,180.000000,top
"Q2","MMBT3904","SOT-23",30.250000,-45.500000,0.000000,top
"Q3","MMBT3904","SOT-23",149.150000,-109.550000,90.000000,top
"Q4","MMBT3904","SOT-23",165.250000,-140.250000,90.000000,top
"Q5","MMBT3904","SOT-23",171.500000,-136.500000,180.000000,top
"Q6","MMBT3904","SOT-23",193.750000,-140.000000,270.000000,top
"Q7","MMBT2907A","SOT-23",181.000000,-140.000000,180.000000,top
"Q8","MMBT3904","SOT-23",190.250000,-140.000000,180.000000,top
"Q9","MMBT3904","SOT-23",162.500000,-115.500000,90.000000,top
"Q10","MMBT2907A","SOT-23",197.000000,-134.000000,0.000000,top
"Q11","MMBT3904","SOT-23",188.500000,-117.000000,90.000000,top
"Q12","MMBT3904","SOT-23",184.750000,-117.000000,90.000000,top
"Q13","MMBT3904","SOT-23",181.000000,-117.000000,90.000000,top
"Q14","FDS4672A","SOIC-8_3.9x4.9mm_P1.27mm",77.250000,-46.750000,90.000000,top
"Q15","MMBT3904","SOT-23",142.750000,-120.000000,270.000000,top
"Q16","BSC065N06LS5ATMA1","VSONP-8-1EP_5x6_P1.27mm",84.500000,-116.800000,270.000000,top
"Q17","BSC065N06LS5ATMA1","VSONP-8-1EP_5x6_P1.27mm",84.500000,-109.200000,90.000000,top
"Q18","BSC065N06LS5ATMA1","VSONP-8-1EP_5x6_P1.27mm",84.500000,-93.400000,270.000000,top
"Q19","BSC065N06LS5ATMA1","VSONP-8-1EP_5x6_P1.27mm",66.900000,-91.800000,90.000000,top
"Q20","SI7145DP-T1-GE3","VSONP-8-1EP_5x6_P1.27mm",52.600000,-123.000000,270.000000,top
"Q21","BSZ019N03LSATMA1","VSON-8-SGD_3.3x3.3mm_P0.65mm_NexFET",52.600000,-132.400000,270.000000,top
"Q22","BSZ019N03LSATMA1","VSON-8-SGD_3.3x3.3mm_P0.65mm_NexFET",52.600000,-150.400000,90.000000,top
"Q23","MMBT3904","SOT-23",125.700000,-131.300000,270.000000,top
"Q24","BSZ019N03LSATMA1","VSON-8-SGD_3.3x3.3mm_P0.65mm_NexFET",96.600000,-141.800000,180.000000,top
"Q25","BSZ019N03LSATMA1","VSON-8-SGD_3.3x3.3mm_P0.65mm_NexFET",101.000000,-148.800000,90.000000,top
"Q26","FDS4672A","SOIC-8_3.9x4.9mm_P1.27mm",129.750000,-46.500000,90.000000,top
