# Captured 2020-06-21 11:16:28.481737 by unknown user
# Built at revision 7b9a516 (dirty)
time(sec)  pc_setpoint  pressure  pa_fast_avg  pa_slow_avg
5.030  5.000  4.973  24.327  55.392
5.040  5.000  5.084  27.561  55.243
5.050  5.000  5.110  30.105  55.093
5.060  5.000  5.135  30.121  54.844
5.070  5.000  5.043  32.550  54.719
5.080  5.000  5.063  33.517  54.545
5.090  5.000  5.175  33.675  54.343
5.100  5.000  5.147  32.362  54.071
5.110  5.000  5.174  31.307  53.801
5.120  5.000  5.151  32.107  53.616
5.130  5.000  5.157  29.884  53.290
5.140  5.000  5.248  27.892  52.956
5.150  5.000  5.138  27.161  52.669
5.160  5.000  5.138  27.335  52.422
5.170  5.000  5.101  26.487  52.129
5.180  5.000  5.161  23.851  51.741
5.190  5.000  5.184  20.891  51.314
5.200  5.000  5.147  17.883  50.859
5.210  5.000  5.152  17.883  50.859
5.220  5.000  5.097  17.883  50.859
5.230  5.000  5.116  17.883  50.859
5.240  5.000  5.142  17.883  50.859
5.250  5.000  5.104  17.883  50.859
5.260  5.000  5.066  17.883  50.859
5.270  5.000  5.041  17.883  50.859
5.280  5.000  5.062  17.883  50.859
5.290  5.000  5.046  17.883  50.859
5.300  5.000  5.036  17.883  50.859
5.310  5.000  5.048  17.883  50.859
5.320  5.000  5.032  17.883  50.859
5.330  5.000  4.919  17.883  50.859
5.340  5.000  4.965  17.883  50.859
5.350  5.000  4.928  17.883  50.859
5.360  5.000  4.944  17.883  50.859
5.370  5.000  4.877  17.883  50.859
5.380  5.000  4.936  17.883  50.859
5.390  5.000  4.958  17.883  50.859
5.400  5.000  4.891  17.883  50.859
5.410  5.000  4.902  17.883  50.859
5.420  5.000  4.906  17.883  50.859
5.430  5.000  4.794  17.883  50.859
5.440  5.000  4.884  17.883  50.859
5.450  5.000  4.891  17.883  50.859
5.460  5.000  4.956  17.883  50.859
5.470  5.000  4.846  17.883  50.859
5.480  5.000  4.825  17.883  50.859
5.490  5.000  4.797  17.883  50.859
5.500  5.000  4.917  15.477  50.409
5.510  5.000  4.975  14.653  50.019
5.520  5.000  4.960  14.790  49.672
5.530  5.000  4.917  14.401  49.304
5.540  5.000  4.959  14.141  48.942
5.550  5.000  4.947  14.094  48.591
5.560  5.000  5.029  16.734  48.378
5.570  5.000  4.971  18.682  48.159
5.580  5.000  4.950  20.940  47.977
5.590  5.000  4.987  23.424  47.831
5.600  5.000  5.074  23.900  47.611
5.610  5.000  5.040  25.224  47.440
5.620  5.000  5.086  25.050  47.209
5.630  5.000  5.122  27.347  47.102
5.640  5.000  5.076  27.522  46.914
5.650  5.000  5.058  27.210  46.704
5.660  5.000  5.173  24.493  46.373
5.670  5.000  5.124  24.090  46.134
5.680  5.000  5.081  25.602  45.990
5.690  5.000  5.075  25.555  45.783
5.700  5.000  5.132  24.981  45.552
5.710  5.000  5.201  24.309  45.313
5.720  5.000  5.104  25.837  45.179
5.730  5.000  5.115  25.045  44.946
5.740  5.000  5.142  24.201  44.705
5.750  5.000  5.139  24.677  44.524
5.760  5.000  5.262  24.677  44.524
5.770  5.000  5.123  21.845  44.184
5.780  5.000  5.067  19.647  43.851
5.790  5.000  5.121  16.317  43.442
5.800  5.000  5.146  16.317  43.442
5.810  5.000  5.133  16.317  43.442
5.820  5.000  5.094  16.317  43.442
5.830  5.000  5.118  16.317  43.442
5.840  5.000  5.154  16.317  43.442
5.850  5.000  5.078  16.317  43.442
5.860  5.000  5.069  16.317  43.442
