# covent_pc_3
# Captured 2020-07-03 03:10:53.974487 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
2.220 30.000 2.458 16.504 2.665 1.000 0.050 0.000
2.230 30.000 2.493 15.673 2.752 1.000 0.050 0.000
2.240 30.000 2.547 15.690 3.023 1.000 0.050 0.000
2.250 30.000 2.602 15.875 3.242 1.000 0.050 0.000
2.260 30.000 2.585 14.689 3.187 1.000 0.050 0.000
2.270 30.000 2.651 15.489 3.607 1.000 0.050 0.000
2.280 30.000 2.611 14.016 3.210 1.000 0.050 0.000
2.290 30.000 2.700 14.695 3.322 1.000 0.050 0.000
2.300 30.000 2.738 15.043 3.277 1.000 0.050 0.000
2.310 30.000 2.743 13.902 3.379 1.000 0.050 0.000
2.320 30.000 2.785 14.456 3.490 1.000 0.050 0.000
2.330 30.000 2.789 13.613 3.321 1.000 0.050 0.000
2.340 30.000 2.758 14.240 3.271 1.000 0.050 0.000
2.350 30.000 2.874 12.552 3.967 1.000 0.050 0.000
2.360 30.000 2.785 14.840 3.188 1.000 0.050 0.000
2.370 30.000 2.873 12.305 3.430 1.000 0.050 0.000
2.380 30.000 2.922 14.952 3.568 1.000 0.050 0.000
2.390 30.000 2.891 12.861 3.458 1.000 0.050 0.000
2.400 30.000 2.888 13.682 3.631 1.000 0.050 0.000
2.410 30.000 2.889 13.448 3.418 1.000 0.050 0.000
2.420 30.000 2.993 11.959 3.799 1.000 0.057 0.000
2.430 30.000 2.971 12.769 3.735 1.000 0.060 0.000
2.440 30.000 3.044 12.552 4.360 1.000 0.072 0.000
2.450 30.000 2.945 13.065 3.998 1.000 0.070 0.000
2.460 30.000 2.952 12.753 3.998 1.000 0.072 0.000
2.470 30.000 3.016 12.173 4.219 0.993 0.081 0.000
2.480 30.000 3.075 13.490 4.748 0.964 0.097 0.000
2.490 30.000 3.039 12.228 4.699 0.946 0.107 0.000
2.500 30.000 3.033 11.837 4.656 0.928 0.117 0.000
2.510 30.000 3.174 11.818 5.351 0.876 0.146 0.000
2.520 30.000 3.075 12.224 5.197 0.854 0.158 0.000
2.530 30.000 2.960 11.850 5.436 0.855 0.157 0.000
2.540 30.000 2.997 11.525 5.798 0.842 0.164 0.000
2.550 30.000 3.099 12.270 6.512 0.807 0.184 0.000
2.560 30.000 3.133 12.388 6.555 0.767 0.206 0.000
2.570 30.000 3.065 11.054 6.878 0.745 0.218 0.000
2.580 30.000 3.039 11.729 7.082 0.727 0.228 0.000
2.590 30.000 3.102 11.293 7.300 0.692 0.247 0.000
2.600 30.000 3.152 10.862 7.569 0.648 0.271 0.000
2.610 30.000 3.106 10.218 7.807 0.617 0.288 0.000
2.620 30.000 3.039 10.892 8.277 0.601 0.297 0.000
2.630 30.000 2.932 9.237 8.356 0.607 0.294 0.000
2.640 30.000 2.956 8.132 8.395 0.603 0.296 0.000
2.650 30.000 2.926 7.252 8.449 0.607 0.293 0.000
2.660 30.000 2.861 5.237 8.341 0.626 0.283 0.000
2.670 30.000 2.802 3.132 8.005 0.656 0.266 0.000
2.680 30.000 2.798 2.354 7.700 0.685 0.251 0.000
2.690 30.000 2.870 2.851 7.091 0.697 0.244 0.000
2.700 30.000 2.984 3.275 7.188 0.684 0.251 0.000
2.710 30.000 2.992 3.209 7.284 0.674 0.257 0.000
2.720 30.000 2.901 3.198 7.310 0.685 0.250 0.000
2.730 30.000 2.795 3.153 6.724 0.719 0.232 0.000
2.740 30.000 2.842 3.487 6.884 0.737 0.222 0.000
2.750 30.000 2.931 3.923 7.182 0.736 0.223 0.000
2.760 30.000 2.927 4.819 6.968 0.739 0.221 0.000
2.770 30.000 2.850 4.515 6.455 0.761 0.209 0.000
2.780 30.000 2.843 5.229 6.652 0.781 0.198 0.000
