# Captured 2020-06-21 04:24:23.417792 by unknown user
# Built at revision 944c41f (dirty)
time(sec)  pc_setpoint  pressure  net_flow
6.680  25.000  18.051  758.438
6.690  25.000  18.796  513.319
6.700  25.000  18.788  537.414
6.710  25.000  18.287  671.404
6.720  25.000  18.473  629.092
6.730  25.000  18.644  625.803
6.740  25.000  19.290  532.130
6.750  25.000  19.867  569.054
6.760  25.000  19.455  692.303
6.770  25.000  19.600  635.189
6.780  25.000  20.279  585.883
6.790  25.000  18.921  894.801
6.800  25.000  19.798  542.233
6.810  25.000  19.341  853.201
6.820  25.000  19.964  632.666
6.830  25.000  20.546  615.264
6.840  25.000  20.131  708.927
6.850  25.000  20.937  527.423
6.860  25.000  20.258  822.476
6.870  25.000  20.681  659.844
6.880  25.000  21.053  563.664
6.890  25.000  21.327  647.969
6.900  25.000  21.139  576.940
6.910  25.000  21.414  653.038
6.920  25.000  21.649  532.487
6.930  25.000  21.899  564.058
6.940  25.000  22.139  590.349
6.950  25.000  22.154  602.860
6.960  25.000  22.251  551.801
6.970  25.000  21.633  702.080
6.980  25.000  21.970  578.656
6.990  25.000  22.506  625.490
7.000  25.000  23.026  515.092
7.010  25.000  23.074  624.714
7.020  25.000  23.055  624.140
7.030  25.000  23.057  522.382
7.040  25.000  22.978  638.933
7.050  25.000  23.281  551.544
7.060  25.000  23.755  625.380
7.070  25.000  24.204  508.155
7.080  25.000  24.357  564.939
7.090  25.000  24.516  559.475
7.100  25.000  24.331  628.046
7.110  25.000  24.384  553.008
7.120  25.000  24.664  574.802
7.130  25.000  24.826  563.797
7.140  25.000  24.748  602.595
7.150  25.000  24.845  588.993
7.160  25.000  24.725  588.952
7.170  25.000  25.472  498.831
7.180  25.000  25.027  596.303
7.190  25.000  25.117  588.880
7.200  25.000  25.829  539.775
7.210  25.000  25.318  581.206
7.220  25.000  26.121  491.137
7.230  25.000  25.449  549.124
7.240  25.000  26.606  490.414
7.250  25.000  25.999  561.830
7.260  25.000  25.986  525.758
7.270  25.000  25.072  525.914
7.280  25.000  25.348  506.982
7.290  25.000  25.728  489.879
7.300  25.000  25.504  491.627
7.310  25.000  25.647  443.014
7.320  25.000  25.815  380.062
7.330  25.000  26.037  419.394
7.340  25.000  25.577  391.103
7.350  25.000  26.170  428.451
7.360  25.000  26.052  411.385
7.370  25.000  26.003  422.742
7.380  25.000  26.476  349.292
7.390  25.000  25.592  403.056
7.400  25.000  25.832  339.746
7.410  25.000  25.350  265.380
7.420  25.000  25.913  263.353
7.430  25.000  25.359  301.464
7.440  25.000  25.966  275.633
7.450  25.000  25.081  271.640
7.460  25.000  25.845  226.153
7.470  25.000  26.054  227.315
