# covent_pc_5
# Captured 2020-07-03 03:13:08.411757 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
2.130 5.000 0.332 0.175 1.319 0.335 0.443 0.000
2.140 5.000 0.331 0.189 1.294 0.351 0.434 0.000
2.150 5.000 0.326 0.201 1.256 0.368 0.425 0.000
2.160 5.000 0.325 0.311 1.237 0.384 0.416 0.000
2.170 5.000 0.340 0.429 1.163 0.399 0.408 0.000
2.180 5.000 0.352 0.433 1.310 0.412 0.401 0.000
2.190 5.000 0.392 0.686 1.422 0.421 0.396 0.000
2.200 5.000 0.413 0.760 1.486 0.427 0.392 0.000
2.210 5.000 0.398 0.797 1.374 0.437 0.387 0.000
2.220 5.000 0.400 0.839 1.448 0.446 0.382 0.000
2.230 5.000 0.385 0.761 1.297 0.457 0.376 0.000
2.240 5.000 0.378 0.743 1.215 0.469 0.370 0.000
2.250 5.000 0.385 0.894 1.225 0.479 0.364 0.000
2.260 5.000 0.394 1.000 1.255 0.488 0.359 0.000
2.270 5.000 0.421 1.338 1.351 0.494 0.356 0.000
2.280 5.000 0.430 1.540 1.371 0.500 0.353 0.000
2.290 5.000 0.421 1.544 1.316 0.507 0.349 0.000
2.300 5.000 0.410 1.774 1.266 0.516 0.344 0.000
2.310 5.000 0.407 1.913 1.341 0.524 0.339 0.000
2.320 5.000 0.442 2.362 1.419 0.528 0.337 0.000
2.330 5.000 0.465 2.425 1.403 0.529 0.336 0.000
2.340 5.000 0.438 2.492 1.323 0.535 0.333 0.000
2.350 5.000 0.452 2.370 1.500 0.539 0.331 0.000
2.360 5.000 0.449 2.538 1.359 0.543 0.329 0.000
2.370 5.000 0.463 2.461 1.392 0.545 0.328 0.000
2.380 5.000 0.454 2.508 1.316 0.549 0.326 0.000
2.390 5.000 0.475 2.348 1.455 0.550 0.325 0.000
2.400 5.000 0.479 2.492 1.549 0.551 0.325 0.000
2.410 5.000 0.470 2.498 1.337 0.553 0.323 0.000
2.420 5.000 0.490 2.304 1.619 0.552 0.324 0.000
2.430 5.000 0.488 2.310 1.797 0.553 0.324 0.000
2.440 5.000 0.509 2.468 1.777 0.550 0.325 0.000
2.450 5.000 0.483 2.358 1.453 0.552 0.324 0.000
2.460 5.000 0.506 2.386 1.583 0.549 0.325 0.000
2.470 5.000 0.491 2.386 1.337 0.550 0.325 0.000
2.480 5.000 0.517 2.341 1.594 0.546 0.327 0.000
2.490 5.000 0.508 2.359 1.537 0.545 0.328 0.000
2.500 5.000 0.509 2.322 1.580 0.543 0.329 0.000
2.510 5.000 0.504 2.277 1.611 0.542 0.330 0.000
2.520 5.000 0.514 2.392 1.643 0.539 0.331 0.000
2.530 5.000 0.508 2.312 1.600 0.537 0.332 0.000
2.540 5.000 0.521 2.363 1.605 0.534 0.334 0.000
2.550 5.000 0.500 2.162 1.559 0.534 0.334 0.000
2.560 5.000 0.523 2.432 1.706 0.529 0.336 0.000
2.570 5.000 0.524 2.272 1.523 0.526 0.338 0.000
2.580 5.000 0.539 2.306 1.742 0.521 0.341 0.000
2.590 5.000 0.549 2.245 1.745 0.514 0.345 0.000
2.600 5.000 0.529 2.151 1.592 0.511 0.346 0.000
2.610 5.000 0.541 1.899 1.792 0.506 0.349 0.000
2.620 5.000 0.512 1.910 1.593 0.505 0.350 0.000
2.630 5.000 0.519 1.725 1.495 0.502 0.352 0.000
2.640 5.000 0.526 1.531 1.622 0.498 0.354 0.000
2.650 5.000 0.519 1.593 1.715 0.495 0.355 0.000
2.660 5.000 0.524 1.440 1.681 0.491 0.357 0.000
2.670 5.000 0.522 1.502 1.696 0.488 0.359 0.000
2.680 5.000 0.507 1.363 1.546 0.487 0.359 0.000
2.690 5.000 0.517 1.261 1.676 0.484 0.361 0.000
2.700 5.000 0.514 1.229 1.745 0.482 0.362 0.000
2.710 5.000 0.508 1.316 1.681 0.481 0.363 0.000
2.720 5.000 0.493 1.151 1.564 0.481 0.363 0.000
2.730 5.000 0.500 1.150 1.751 0.480 0.364 0.000
