# This is based on https://github.com/RespiraWorks/VentilatorSoftware/blob/f426ea02efdd4b04b6fe720802c9cd23de6b0672/sample-data/2020-06-21-RunForRecord2-AIR-and-OXY/20200621-RunForRecord2-OXY/covent_pc_1.dat
# rearranged into the form GUI expects with a breath_id added using a shell script
# on the condition "pressure setpoint transitioned from non-5.000 to 5.000".
#
# covent_pc_1
# Captured 2020-06-21 05:14:27.386497 by unknown user
# Built at revision 050777a (dirty)
time(sec) pressure net_flow volume breath_id
3.230 4.879 -195.734 13.779 3
3.240 4.918 -195.755 11.822 3
3.250 4.873 -186.964 9.909 3
3.260 4.846 -184.301 8.052 3
3.270 4.818 -185.655 6.202 3
3.280 4.848 -176.181 4.393 3
3.290 4.790 -163.609 2.694 3
3.300 4.772 -153.991 1.106 3
3.310 4.809 -152.678 -0.427 3
3.320 4.782 -144.622 -1.914 3
3.330 4.752 -134.331 -3.308 3
3.340 4.805 -126.517 -4.613 3
3.350 4.792 -121.982 -5.855 3
3.360 4.861 -121.304 -7.071 3
3.370 4.850 -111.120 -8.234 3
3.380 4.847 -105.541 -9.317 3
3.390 4.829 -92.121 -10.305 3
3.400 4.855 -90.178 -11.217 3
3.410 4.789 -70.307 -12.019 3
3.420 4.862 -77.331 -12.757 3
3.430 4.848 -74.409 -13.516 3
3.440 4.860 -56.249 -14.169 3
3.450 4.849 -56.472 -14.733 3
3.460 4.858 -32.247 -15.177 3
3.470 4.871 -31.969 -15.498 3
3.480 4.947 -44.898 -15.882 3
3.490 4.917 -18.117 -16.197 3
3.500 4.828 -28.038 -16.428 3
3.510 4.836 -17.061 -16.653 3
3.520 4.814 6.763 -16.705 3
3.530 4.896 -12.484 -16.733 3
3.540 4.886 0.481 -16.793 3
3.550 4.927 3.794 -16.772 3
3.560 4.908 24.322 -16.631 3
3.570 4.940 18.681 -16.416 3
3.580 4.889 22.011 -16.213 3
3.590 4.967 19.783 -16.004 3
3.600 4.977 31.658 -15.747 3
3.610 4.922 46.511 -15.356 3
3.620 4.915 30.750 -14.970 3
3.630 4.957 28.955 -14.671 3
3.640 5.003 33.466 -14.359 3
3.650 5.033 44.350 -13.970 3
3.660 4.997 53.883 -13.479 3
3.670 5.047 49.926 -12.960 3
3.680 4.893 49.374 -12.463 3
3.690 5.043 50.814 -11.962 3
3.700 4.983 42.287 -11.497 3
3.710 5.066 46.994 -11.050 3
3.720 5.061 32.955 -10.651 3
3.730 5.171 46.028 -10.256 3
3.740 5.020 43.738 -9.807 3
3.750 5.128 47.664 -9.350 3
3.760 5.150 28.799 -8.967 3
3.770 5.237 45.172 -8.598 3
3.780 5.137 47.403 -8.135 3
3.790 5.179 55.737 -7.619 3
3.800 5.414 106.150 -6.810 3
3.810 5.662 147.032 -5.544 3
3.820 6.365 244.110 -3.588 3
3.830 7.190 323.864 -0.748 3
3.840 7.388 406.996 2.906 3
3.850 7.601 490.486 7.393 3
3.860 8.069 529.680 12.494 3
3.870 8.685 544.100 17.863 3
3.880 9.104 558.455 23.375 3
3.890 10.338 564.232 28.989 3
3.900 10.092 759.567 35.608 3
3.910 10.204 692.660 42.870 3
3.920 9.963 728.002 49.972 3
3.930 10.149 637.387 56.799 3
3.940 10.556 675.622 63.364 3
3.950 9.980 979.212 71.638 3
3.960 10.990 634.693 79.710 3
3.970 10.839 700.280 86.383 3
3.980 11.460 697.636 93.373 3
3.990 11.010 738.882 100.555 3
4.000 11.310 794.226 108.222 3
4.010 10.994 969.428 117.039 3
4.020 12.156 610.979 124.941 3
4.030 11.702 758.987 131.790 3
4.040 11.487 915.388 140.162 3
4.050 12.662 580.301 147.642 3
4.060 12.210 887.030 154.977 3
4.070 12.376 683.771 162.831 3
4.080 12.542 713.828 169.819 3
4.090 12.680 718.300 176.980 3
4.100 12.945 664.484 183.894 3
4.110 13.052 686.138 190.648 3
4.120 13.498 654.693 197.352 3
4.130 13.108 820.002 204.724 3
4.140 13.638 663.091 212.140 3
4.150 13.751 588.453 218.399 3
4.160 13.900 711.190 224.896 3
4.170 13.918 684.826 231.875 3
4.180 13.888 754.807 239.073 3
4.190 14.249 699.744 246.346 3
4.200 14.090 793.304 253.813 3
4.210 14.437 688.034 261.218 3
4.220 14.873 601.506 267.666 3
4.230 14.556 772.116 274.534 3
4.240 14.709 756.744 282.181 3
4.250 14.994 748.717 289.705 3
4.260 14.952 716.634 297.032 3
4.270 15.595 643.900 303.835 3
4.280 15.315 709.793 310.603 3
4.290 15.589 638.536 317.346 3
4.300 15.505 736.791 324.222 3
4.310 15.313 780.096 331.805 3
4.320 15.734 661.787 339.015 3
4.330 16.090 664.907 345.648 3
4.340 16.433 632.602 352.136 3
4.350 16.313 656.501 358.581 3
4.360 15.428 643.632 365.082 3
4.370 15.960 512.615 370.865 3
4.380 15.169 617.975 376.516 3
4.390 15.749 602.726 382.619 3
4.400 15.946 591.111 388.589 3
4.410 16.071 545.145 394.270 3
4.420 16.136 576.685 399.879 3
4.430 15.885 621.003 405.867 3
4.440 15.780 594.793 411.946 3
4.450 16.662 517.213 417.506 3
4.460 15.638 624.449 423.214 3
4.470 16.445 539.600 429.035 3
4.480 15.648 480.239 434.134 3
4.490 16.019 453.725 438.805 3
4.500 16.092 434.754 443.246 3
4.510 15.714 445.457 447.648 3
4.520 16.178 412.116 451.935 3
4.530 16.434 463.178 456.311 3
4.540 16.605 403.637 460.645 3
4.550 16.216 425.260 464.790 3
4.560 15.590 362.098 468.727 3
4.570 15.994 327.905 472.177 3
4.580 15.175 365.248 475.642 3
4.590 15.718 299.800 478.968 3
4.600 16.037 294.353 481.939 3
4.610 16.090 248.230 484.651 3
4.620 16.051 227.157 487.028 3
4.630 15.631 218.682 489.257 3
4.640 15.874 218.367 491.443 3
4.650 15.837 188.553 493.477 3
4.660 16.122 150.851 495.174 3
4.670 15.475 161.388 496.736 3
4.680 15.449 129.671 498.191 3
4.690 15.117 124.960 499.464 3
4.700 15.347 87.097 500.524 3
4.710 15.528 89.666 501.408 3
4.720 15.562 62.918 502.171 3
4.730 15.668 29.766 502.635 3
4.740 15.280 0.720 502.787 3
4.750 15.170 8.524 502.833 3
4.760 15.165 -2.317 502.864 3
4.770 15.477 -29.070 502.707 3
4.780 15.274 -31.058 502.407 4
4.790 14.946 -495.094 499.776 4
4.800 9.472 -748.252 493.560 4
4.810 11.891 -388.920 487.873 4
4.820 12.652 -700.331 482.428 4
4.830 13.294 -387.128 476.990 4
4.840 12.940 -496.398 472.573 4
4.850 12.746 -435.302 467.914 4
4.860 12.330 -444.486 463.515 4
4.870 12.431 -454.580 459.019 4
4.880 12.390 -458.611 454.454 4
4.890 12.301 -460.324 449.859 4
4.900 12.125 -444.761 445.334 4
4.910 11.884 -446.479 440.878 4
4.920 11.868 -430.959 436.490 4
4.930 11.766 -442.611 432.123 4
4.940 11.752 -430.263 427.759 4
4.950 11.586 -434.899 423.433 4
4.960 11.614 -437.804 419.069 4
4.970 11.603 -446.530 414.648 4
4.980 11.436 -427.834 410.275 4
4.990 11.389 -451.666 405.878 4
5.000 11.195 -418.282 401.528 4
5.010 11.180 -428.535 397.294 4
5.020 11.143 -426.965 393.017 4
5.030 11.053 -417.504 388.795 4
5.040 10.898 -415.718 384.629 4
5.050 10.829 -409.195 380.504 4
5.060 10.785 -406.629 376.424 4
5.070 10.722 -418.452 372.299 4
5.080 10.760 -416.770 368.123 4
5.090 10.679 -419.221 363.943 4
5.100 10.471 -394.717 359.874 4
5.110 10.491 -399.880 355.901 4
5.120 10.410 -406.105 351.871 4
5.130 10.360 -402.305 347.829 4
5.140 10.322 -399.321 343.821 4
5.150 10.275 -400.742 339.821 4
5.160 10.053 -398.476 335.824 4
5.170 9.990 -395.649 331.854 4
5.180 9.968 -389.057 327.931 4
5.190 9.861 -394.318 324.014 4
5.200 9.835 -373.535 320.174 4
5.210 9.770 -384.522 316.384 4
5.220 9.699 -384.786 312.538 4
5.230 9.653 -385.330 308.687 4
5.240 9.603 -376.260 304.879 4
5.250 9.544 -377.815 301.108 4
5.260 9.452 -370.525 297.367 4
5.270 9.421 -377.436 293.627 4
5.280 9.378 -378.422 289.848 4
5.290 9.270 -368.142 286.115 4
5.300 9.258 -361.938 282.465 4
5.310 9.175 -364.739 278.832 4
5.320 9.095 -361.923 275.198 4
5.330 9.101 -366.765 271.555 4
5.340 9.017 -361.713 267.913 4
5.350 8.850 -351.357 264.348 4
5.360 8.850 -352.370 260.829 4
5.370 8.706 -349.879 257.317 4
5.380 8.692 -347.244 253.832 4
5.390 8.620 -337.157 250.410 4
5.400 8.567 -340.946 247.019 4
5.410 8.628 -359.083 243.519 4
5.420 8.477 -339.456 240.026 4
5.430 8.436 -342.374 236.618 4
5.440 8.283 -332.189 233.245 4
5.450 8.238 -330.299 229.932 4
5.460 8.199 -333.581 226.613 4
5.470 8.162 -342.585 223.232 4
5.480 8.159 -328.502 219.877 4
5.490 8.042 -320.668 216.631 4
5.500 8.033 -329.104 213.382 4
5.510 7.969 -317.344 210.150 4
5.520 7.866 -322.754 206.949 4
5.530 7.861 -323.352 203.719 4
5.540 7.813 -317.266 200.516 4
5.550 7.675 -312.652 197.366 4
5.560 7.684 -316.384 194.221 4
5.570 7.651 -310.247 191.088 4
5.580 7.614 -309.406 187.990 4
5.590 7.535 -299.944 184.943 4
5.600 7.460 -306.262 181.912 4
5.610 7.417 -304.376 178.859 4
