# Captured 2020-06-18 16:25:11.789034 by jlebar
# Built at revision a4c6d043 (dirty)
#
# Ventilator was run attached to QuickLung at covent preset #1 (but with lung
# compliance = 10 ml/cmH2O, that's just how it was set).
#
# I then disconnected the hose for a few cycles, and then reconnected it.
time(sec)  pressure  net_flow  flow_uncorrected  pc_setpoint
3.670  4.726  1387.312  1412.035  15.000
3.680  4.341  1709.471  1734.195  15.000
3.690  4.619  1721.113  1745.836  15.000
3.700  4.639  1668.944  1693.667  15.000
3.710  5.074  1764.984  1789.707  15.000
3.720  4.188  1436.790  1461.514  15.000
3.730  4.903  1717.098  1741.821  15.000
3.740  4.216  1572.754  1597.477  15.000
3.750  4.635  1338.390  1363.113  15.000
3.760  4.028  1812.665  1837.389  15.000
3.770  4.631  1471.681  1496.404  15.000
3.780  5.554  1261.350  1286.074  15.000
3.790  4.730  1351.180  1375.903  15.000
3.800  3.983  1656.857  1681.581  15.000
3.810  4.796  1368.350  1393.073  15.000
3.820  3.341  1772.645  1797.368  15.000
3.830  4.221  1742.646  1767.370  15.000
3.840  4.673  1636.185  1660.908  15.000
3.850  3.979  1798.153  1822.876  15.000
3.860  5.259  1301.431  1326.154  15.000
3.870  4.850  1773.838  1798.562  15.000
3.880  4.928  1253.061  1277.784  15.000
3.890  4.588  1427.018  1451.742  15.000
3.900  4.658  1610.811  1635.535  15.000
3.910  4.190  1655.554  1680.277  15.000
3.920  5.713  1277.578  1302.301  15.000
3.930  4.583  1273.072  1297.796  15.000
3.940  4.503  1449.855  1474.579  15.000
3.950  5.106  1242.665  1267.388  15.000
3.960  4.806  1222.125  1246.848  15.000
3.970  4.838  1609.782  1634.505  15.000
3.980  4.841  1634.192  1658.916  15.000
3.990  5.256  1225.351  1250.074  15.000
4.000  5.415  1243.477  1268.200  15.000
4.010  4.767  1608.533  1633.256  15.000
4.020  5.027  1545.129  1569.852  15.000
4.030  5.191  1649.379  1674.103  15.000
4.040  4.802  1657.497  1682.221  15.000
4.050  4.866  1301.509  1326.232  15.000
4.060  5.034  1765.057  1789.780  15.000
4.070  4.329  1422.919  1447.643  15.000
4.080  4.322  1699.812  1724.536  15.000
4.090  5.097  1314.274  1338.997  15.000
4.100  4.623  1294.752  1319.476  15.000
4.110  4.789  1607.381  1632.105  15.000
4.120  4.279  1812.015  1836.738  15.000
4.130  5.261  1328.612  1353.335  15.000
4.140  4.855  1653.925  1678.649  15.000
4.150  4.852  1295.422  1320.146  15.000
4.160  4.824  1383.629  1408.352  15.000
4.170  3.834  1575.844  1600.567  15.000
4.180  5.148  1676.673  1701.396  15.000
4.190  4.539  1361.142  1385.865  15.000
4.200  5.028  1615.453  1640.177  15.000
4.210  5.174  1326.242  1350.965  15.000
4.220  4.783  1326.809  1351.532  15.000
4.230  4.866  1446.966  1471.690  15.000
4.240  4.201  1630.715  1655.439  15.000
4.250  4.687  1308.143  1332.866  15.000
4.260  5.977  1502.209  1526.932  15.000
4.270  5.160  1205.325  1230.048  15.000
4.280  4.923  1385.869  1410.592  15.000
4.290  4.928  1461.242  1485.966  15.000
4.300  4.253  1774.839  1799.563  15.000
4.310  4.850  1687.412  1712.135  15.000
4.320  4.569  1815.197  1839.920  5.000
4.330  4.041  1762.292  1787.015  5.000
4.340  3.161  1218.643  1243.366  5.000
4.350  3.257  1118.220  1142.943  5.000
4.360  2.578  1198.738  1223.461  5.000
4.370  3.684  1135.230  1159.953  5.000
4.380  2.815  1134.696  1159.419  5.000
4.390  2.991  1107.322  1132.046  5.000
4.400  2.260  1116.008  1140.731  5.000
4.410  3.384  990.800  1015.523  5.000
4.420  2.421  1167.306  1192.030  5.000
4.430  3.015  1221.339  1246.062  5.000
4.440  3.485  1112.469  1137.192  5.000
4.450  2.749  1098.256  1122.979  5.000
4.460  2.538  1118.053  1142.777  5.000
4.470  2.390  1122.571  1147.294  5.000
4.480  2.735  1133.595  1158.318  5.000
