# Captured 2020-06-20 10:24:44.916993 by jkff
# Built at revision 15e86df (dirty - added the breath_id debug variable)
#
# This uses default GUI parameters:
#  Command Pressure mode
#  PIP 15
#  PEEP 5
#  RR 12
#  I-Time 1
#
# The test lung is the simple one (blue bag between two styrofoam sheets and a
# rubber band, tubes tucked under the band for more resistance)
#
# To re-capture:
# * Fire up the vent and also connect it to your computer over serial
# * Run utils/controller_debug.py
# * In there, say:
#
#  ] trace start pressure net_flow volume
#  ] get trace_samples
#  ... (repeat until it says 4096) ...
#  ] trace download --dest=trace.dat
#
time(sec) pressure net_flow volume breath_id
5.460 5.029 -38.705 -12.213 181114150
5.470 4.987 -7.301 -12.443 181114150
5.480 4.978 0.089 -12.479 181114150
5.490 5.006 -17.168 -12.564 181114150
5.500 4.991 -16.153 -12.731 181114150
5.510 4.999 -7.638 -12.850 181114150
5.520 5.038 -40.032 -13.088 181114150
5.530 4.988 13.632 -13.220 181114150
5.540 4.965 -6.796 -13.186 181114150
5.550 5.023 19.742 -13.121 186124113
5.560 4.972 -8.330 -13.064 186124113
5.570 5.053 0.215 -13.105 186124113
5.580 5.194 33.030 -12.939 186124113
5.590 5.384 28.848 -12.629 186124113
5.600 5.398 67.547 -12.147 186124113
5.610 5.649 171.173 -10.954 186124113
5.620 6.122 273.422 -8.731 186124113
5.630 6.777 301.458 -5.856 186124113
5.640 7.352 487.108 -1.914 186124113
5.650 8.377 635.927 3.701 186124113
5.660 8.618 903.175 11.399 186124113
5.670 10.382 1103.870 21.431 186124113
5.680 11.545 1368.053 33.794 186124113
5.690 13.049 1352.321 47.392 186124113
5.700 15.174 1339.862 60.857 186124113
5.710 16.393 1712.460 76.114 186124113
5.720 17.877 1764.409 93.498 186124113
5.730 20.405 1438.892 109.518 186124113
5.740 21.112 1501.401 124.221 186124113
5.750 22.563 1199.137 137.720 186124113
5.760 23.494 1142.463 149.428 186124113
5.770 24.198 865.294 159.465 186124113
5.780 25.481 649.351 167.039 186124113
5.790 25.745 479.775 172.684 186124113
5.800 24.984 239.823 176.282 186124113
5.810 25.575 16.923 177.566 186124113
5.820 24.151 -194.095 176.680 186124113
5.830 24.195 -353.239 173.943 186124113
5.840 23.502 -477.775 169.788 186124113
5.850 23.070 -443.985 165.180 186124113
5.860 22.355 -444.872 160.735 186124113
5.870 21.491 -399.595 156.513 186124113
5.880 20.683 -421.456 152.408 186124113
5.890 20.093 -420.853 148.196 186124113
5.900 19.547 -392.084 144.132 186124113
5.910 19.026 -395.697 140.193 186124113
5.920 18.388 -395.520 136.237 186124113
5.930 17.874 -394.968 132.284 186124113
5.940 17.404 -367.320 128.473 186124113
5.950 16.878 -359.170 124.840 186124113
5.960 16.400 -355.480 121.267 186124113
5.970 15.957 -366.291 117.658 186124113
5.980 15.710 -367.685 113.988 186124113
5.990 15.273 -347.431 110.413 186124113
6.000 14.879 -333.844 107.007 186124113
6.010 14.326 -318.613 103.744 186124113
6.020 13.938 -315.476 100.574 186124113
6.030 13.785 -288.399 97.555 186124113
6.040 13.390 -268.148 94.772 186124113
6.050 13.174 -264.228 92.110 186124113
6.060 12.742 -241.366 89.582 186124113
6.070 12.601 -247.500 87.138 186124113
6.080 12.264 -213.112 84.835 186124113
