# Captured 2020-06-21 06:10:07.683769 by unknown user
# Built at revision a5513db (dirty)
time(sec)  pc_setpoint  pressure  net_flow  net_flow
4.470  10.000  10.011  -10.962  -10.962
4.480  10.000  10.040  -20.180  -20.180
4.490  10.000  10.047  -25.710  -25.710
4.500  10.000  9.960  -26.240  -26.240
4.510  10.000  9.856  -13.469  -13.469
4.520  10.000  9.992  -12.525  -12.525
4.530  10.000  10.032  -24.698  -24.698
4.540  10.000  10.004  -30.309  -30.309
4.550  10.000  9.919  -16.058  -16.058
4.560  10.000  9.910  -25.600  -25.600
4.570  10.000  9.839  -9.723  -9.723
4.580  10.000  9.895  -11.936  -11.936
4.590  10.000  9.819  -7.530  -7.530
4.600  10.000  9.885  -20.274  -20.274
4.610  10.000  9.836  -5.860  -5.860
4.620  10.000  9.922  -25.616  -25.616
4.630  10.000  9.794  -12.738  -12.738
4.640  10.000  10.060  -29.456  -29.456
4.650  10.000  9.788  -2.885  -2.885
4.660  10.000  9.791  -4.562  -4.562
4.670  10.000  9.726  -6.174  -6.174
4.680  10.000  9.938  -7.650  -7.650
4.690  10.000  9.847  7.123  7.123
4.700  10.000  9.862  5.286  5.286
4.710  10.000  9.881  2.910  2.910
4.720  10.000  9.928  2.771  2.771
4.730  10.000  9.699  16.827  16.827
4.740  10.000  9.941  31.232  31.232
4.750  10.000  9.858  28.411  28.411
4.760  10.000  9.834  47.271  47.271
4.770  10.000  9.930  27.132  27.132
4.780  10.000  10.010  20.853  20.853
4.790  10.000  9.966  33.737  33.737
4.800  10.000  9.976  40.242  40.242
4.810  10.000  10.001  66.437  66.437
4.820  10.000  10.124  38.240  38.240
4.830  10.000  10.151  42.363  42.363
4.840  10.000  10.101  42.593  42.593
4.850  10.000  9.982  48.624  48.624
4.860  10.000  10.101  50.091  50.091
4.870  10.000  10.076  65.810  65.810
4.880  10.000  10.100  54.828  54.828
4.890  10.000  10.093  36.946  36.946
4.900  10.000  10.224  33.182  33.182
4.910  10.000  10.279  44.171  44.171
4.920  10.000  10.278  39.035  39.035
4.930  10.000  10.198  42.792  42.792
4.940  10.000  10.253  36.471  36.471
4.950  10.000  10.268  36.401  36.401
4.960  10.000  10.335  27.851  27.851
4.970  10.000  10.336  23.019  23.019
4.980  10.000  10.147  20.133  20.133
4.990  10.000  10.154  13.059  13.059
5.000  10.000  10.212  17.831  17.831
5.010  10.000  10.321  -11.642  -11.642
5.020  10.000  10.256  -6.047  -6.047
5.030  10.000  10.144  -12.145  -12.145
5.040  10.000  10.051  -24.565  -24.565
5.050  10.000  10.262  -36.223  -36.223
5.060  12.500  10.259  -126.765  -126.765
5.070  15.000  10.178  -130.910  -130.910
5.080  17.500  10.466  16.209  16.209
5.090  20.000  12.370  179.976  179.976
5.100  22.500  14.026  246.314  246.314
5.110  25.000  15.241  347.326  347.326
5.120  27.500  16.689  456.783  456.783
5.130  30.000  19.189  495.919  495.919
5.140  32.500  19.920  540.170  540.170
5.150  35.000  20.963  558.817  558.817
5.160  35.000  21.304  598.974  598.974
5.170  35.000  22.272  568.141  568.141
5.180  35.000  22.585  579.177  579.177
5.190  35.000  22.814  581.728  581.728
5.200  35.000  23.456  572.644  572.644
5.210  35.000  23.972  540.822  540.822
5.220  35.000  24.083  524.318  524.318
5.230  35.000  24.448  628.012  628.012
5.240  35.000  24.149  653.218  653.218
5.250  35.000  25.058  592.521  592.521
5.260  35.000  25.492  582.771  582.771
5.270  35.000  25.625  548.896  548.896
5.280  35.000  26.515  514.215  514.215
5.290  35.000  26.424  596.941  596.941
5.300  35.000  26.875  526.391  526.391
5.310  35.000  27.130  600.176  600.176
5.320  35.000  27.312  559.173  559.173
5.330  35.000  27.449  551.734  551.734
5.340  35.000  28.403  581.234  581.234
5.350  35.000  27.647  703.335  703.335
5.360  35.000  28.317  590.448  590.448
5.370  35.000  28.752  506.065  506.065
5.380  35.000  29.664  536.996  536.996
5.390  35.000  29.753  598.041  598.041
5.400  35.000  29.913  476.966  476.966
5.410  35.000  29.947  610.274  610.274
5.420  35.000  30.476  577.431  577.431
5.430  35.000  30.501  583.367  583.367
5.440  35.000  31.132  552.603  552.603
5.450  35.000  31.588  520.147  520.147
5.460  35.000  32.065  536.190  536.190
5.470  35.000  32.188  508.425  508.425
5.480  35.000  32.218  637.831  637.831
5.490  35.000  32.693  568.488  568.488
5.500  35.000  33.245  512.288  512.288
5.510  35.000  33.370  482.725  482.725
5.520  35.000  33.966  605.323  605.323
5.530  35.000  34.120  570.402  570.402
5.540  35.000  34.301  541.227  541.227
5.550  35.000  34.749  552.626  552.626
5.560  35.000  35.299  495.759  495.759
5.570  35.000  35.460  545.129  545.129
5.580  35.000  35.140  564.993  564.993
5.590  35.000  35.958  508.399  508.399
5.600  35.000  35.665  509.178  509.178
5.610  35.000  35.948  462.338  462.338
5.620  35.000  36.788  508.242  508.242
5.630  35.000  36.141  445.385  445.385
5.640  35.000  36.003  443.161  443.161
5.650  35.000  35.362  445.096  445.096
5.660  35.000  35.369  402.079  402.079
5.670  35.000  34.808  443.239  443.239
5.680  35.000  35.769  345.350  345.350
5.690  35.000  35.496  371.660  371.660
5.700  35.000  35.401  341.230  341.230
5.710  35.000  35.072  371.827  371.827
5.720  35.000  35.557  324.377  324.377
5.730  35.000  35.359  382.410  382.410
5.740  35.000  36.560  281.820  281.820
5.750  35.000  36.092  364.340  364.340
5.760  35.000  36.616  316.596  316.596
5.770  35.000  36.305  325.589  325.589
5.780  35.000  36.369  254.916  254.916
5.790  35.000  35.094  282.807  282.807
5.800  35.000  35.393  223.739  223.739
5.810  35.000  35.211  262.204  262.204
5.820  35.000  35.472  245.136  245.136
5.830  35.000  35.754  227.647  227.647
5.840  35.000  35.630  167.436  167.436
5.850  35.000  35.337  201.052  201.052
5.860  35.000  34.907  186.624  186.624
5.870  35.000  35.472  168.976  168.976
5.880  35.000  35.806  118.722  118.722
5.890  35.000  35.605  176.759  176.759
5.900  35.000  35.829  151.241  151.241
5.910  35.000  35.732  140.536  140.536
5.920  35.000  35.613  172.452  172.452
5.930  35.000  35.215  128.829  128.829
5.940  35.000  35.740  89.349  89.349
5.950  35.000  35.495  105.831  105.831
5.960  35.000  35.177  88.260  88.260
5.970  35.000  35.314  56.132  56.132
5.980  35.000  35.058  57.678  57.678
5.990  35.000  35.903  16.579  16.579
6.000  35.000  34.720  55.600  55.600
6.010  35.000  35.702  13.641  13.641
6.020  35.000  34.601  27.404  27.404
6.030  35.000  35.188  0.567  0.567
6.040  35.000  35.460  -16.964  -16.964
6.050  35.000  35.231  -12.673  -12.673
6.060  10.000  35.228  -19.596  -19.596
6.070  10.000  34.662  -537.503  -537.503
6.080  10.000  27.795  -1316.917  -1316.917
6.090  10.000  23.407  -606.587  -606.587
6.100  10.000  23.806  -1078.870  -1078.870
6.110  10.000  22.861  -779.130  -779.130
6.120  10.000  22.462  -811.812  -811.812
6.130  10.000  22.163  -794.946  -794.946
6.140  10.000  21.519  -794.156  -794.156
6.150  10.000  21.011  -767.796  -767.796
6.160  10.000  20.534  -745.592  -745.592
6.170  10.000  20.284  -756.730  -756.730
6.180  10.000  19.963  -750.503  -750.503
6.190  10.000  19.647  -806.626  -806.626
6.200  10.000  19.444  -743.552  -743.552
6.210  10.000  19.097  -773.904  -773.904
6.220  10.000  18.904  -725.604  -725.604
6.230  10.000  18.840  -750.222  -750.222
6.240  10.000  18.328  -734.448  -734.448
6.250  10.000  18.199  -770.702  -770.702
6.260  10.000  17.908  -681.755  -681.755
6.270  10.000  17.834  -752.618  -752.618
6.280  10.000  17.447  -701.068  -701.068
6.290  10.000  17.250  -712.765  -712.765
6.300  10.000  17.081  -682.952  -682.952
6.310  10.000  16.847  -740.534  -740.534
6.320  10.000  16.749  -670.813  -670.813
6.330  10.000  16.360  -719.391  -719.391
6.340  10.000  16.292  -645.010  -645.010
6.350  10.000  16.142  -700.384  -700.384
6.360  10.000  15.844  -688.053  -688.053
6.370  10.000  15.894  -671.828  -671.828
6.380  10.000  15.418  -658.094  -658.094
6.390  10.000  15.286  -664.039  -664.039
6.400  10.000  15.175  -631.701  -631.701
6.410  10.000  15.017  -678.694  -678.694
6.420  10.000  14.810  -666.613  -666.613
6.430  10.000  14.551  -641.368  -641.368
6.440  10.000  14.486  -681.092  -681.092
6.450  10.000  14.347  -632.907  -632.907
6.460  10.000  14.353  -651.810  -651.810
6.470  10.000  14.132  -651.247  -651.247
6.480  10.000  13.882  -607.689  -607.689
6.490  10.000  13.729  -670.206  -670.206
6.500  10.000  13.433  -603.699  -603.699
6.510  10.000  13.212  -612.425  -612.425
