# covent_pc_1
# Captured 2020-07-03 20:38:13.786288 by unknown user
# Built at revision a9175b3 (dirty)
time(sec) pc_setpoint pressure dp_inhale dp_exhale cmd_inh_valve cmd_exh_valve cmd_psol
2.560 15.000 1.497 5.944 2.137 0.709 0.237 0.000
2.570 15.000 1.521 6.128 2.376 0.703 0.241 0.000
2.580 15.000 1.537 6.365 2.411 0.696 0.245 0.000
2.590 15.000 1.538 5.624 2.245 0.689 0.248 0.000
2.600 15.000 1.555 5.958 2.287 0.680 0.253 0.000
2.610 15.000 1.537 5.488 2.229 0.674 0.257 0.000
2.620 15.000 1.589 5.659 2.501 0.660 0.264 0.000
2.630 15.000 1.557 5.251 2.297 0.653 0.268 0.000
2.640 15.000 1.526 4.971 2.306 0.649 0.271 0.000
2.650 15.000 1.513 4.731 2.246 0.645 0.273 0.000
2.660 15.000 1.520 4.531 2.351 0.640 0.276 0.000
2.670 15.000 1.545 4.426 2.351 0.631 0.280 0.000
2.680 15.000 1.538 3.771 2.417 0.625 0.284 0.000
2.690 15.000 1.505 4.036 2.247 0.623 0.285 0.000
2.700 15.000 1.507 3.555 2.049 0.619 0.287 0.000
2.710 15.000 1.521 3.760 2.194 0.614 0.290 0.000
2.720 15.000 1.522 3.500 2.312 0.609 0.293 0.000
2.730 15.000 1.566 3.703 2.511 0.597 0.299 0.000
2.740 15.000 1.550 3.749 2.261 0.590 0.303 0.000
2.750 15.000 1.513 3.424 2.208 0.587 0.304 0.000
2.760 15.000 1.518 3.467 2.523 0.583 0.307 0.000
2.770 15.000 1.528 3.377 2.649 0.577 0.310 0.000
2.780 15.000 1.513 3.573 2.569 0.573 0.312 0.000
2.790 15.000 1.524 3.223 2.749 0.567 0.316 0.000
2.800 15.000 1.489 2.917 2.752 0.567 0.316 0.000
2.810 15.000 1.506 3.002 2.824 0.563 0.318 0.000
2.820 15.000 1.530 2.772 2.802 0.556 0.322 0.000
2.830 15.000 1.517 2.742 2.695 0.552 0.324 0.000
2.840 15.000 1.488 2.646 2.965 0.551 0.324 0.000
2.850 15.000 1.478 2.603 2.865 0.551 0.325 0.000
2.860 15.000 1.505 2.512 2.944 0.546 0.327 0.000
2.870 15.000 1.470 2.513 2.677 0.548 0.326 0.000
2.880 15.000 1.487 2.516 2.705 0.546 0.327 0.000
2.890 15.000 1.493 2.284 2.919 0.543 0.329 0.000
2.900 15.000 1.488 2.304 3.017 0.542 0.330 0.000
2.910 5.000 1.487 2.300 2.857 0.403 0.406 0.000
2.920 5.000 1.448 2.009 3.066 0.309 0.458 0.000
2.930 5.000 1.258 0.483 3.172 0.240 0.496 0.000
2.940 5.000 1.107 -0.144 3.460 0.184 0.526 0.000
2.950 5.000 1.119 0.266 3.364 0.121 0.561 0.000
2.960 5.000 1.115 -0.130 3.652 0.058 0.595 0.000
2.970 5.000 1.132 0.123 4.149 0.050 0.600 0.000
2.980 5.000 1.117 -0.009 4.328 0.050 0.600 0.000
2.990 5.000 1.097 0.042 4.288 0.050 0.600 0.000
3.000 5.000 1.086 0.046 4.285 0.050 0.600 0.000
3.010 5.000 1.076 0.011 4.242 0.050 0.600 0.000
3.020 5.000 1.062 0.047 4.178 0.050 0.600 0.000
3.030 5.000 1.059 0.016 4.203 0.050 0.600 0.000
3.040 5.000 1.050 0.008 4.127 0.050 0.600 0.000
3.050 5.000 1.034 0.077 4.061 0.050 0.600 0.000
3.060 5.000 1.013 0.021 3.888 0.050 0.600 0.000
3.070 5.000 1.009 0.002 3.887 0.050 0.600 0.000
3.080 5.000 1.022 -0.017 4.063 0.050 0.600 0.000
3.090 5.000 1.018 0.077 4.001 0.050 0.600 0.000
3.100 5.000 0.999 0.035 3.937 0.050 0.600 0.000
3.110 5.000 0.991 -0.003 3.934 0.050 0.600 0.000
3.120 5.000 0.983 0.103 3.852 0.050 0.600 0.000
3.130 5.000 0.967 0.030 3.799 0.050 0.600 0.000
3.140 5.000 0.952 0.002 3.715 0.050 0.600 0.000
3.150 5.000 0.941 0.028 3.623 0.050 0.600 0.000
3.160 5.000 0.933 0.067 3.633 0.050 0.600 0.000
3.170 5.000 0.925 0.053 3.610 0.050 0.600 0.000
3.180 5.000 0.927 0.030 3.588 0.050 0.600 0.000
3.190 5.000 0.926 0.043 3.557 0.050 0.600 0.000
3.200 5.000 0.906 0.030 3.491 0.050 0.600 0.000
3.210 5.000 0.898 0.011 3.474 0.050 0.600 0.000
3.220 5.000 0.898 0.024 3.407 0.050 0.600 0.000
3.230 5.000 0.883 0.045 3.408 0.050 0.600 0.000
